thirtysomething scientists unveil doomsday clock of hair loss,1
"dem rep. totally nails why congress is falling short on gender, racial equality",0
eat your veggies: 9 deliciously different recipes,0
inclement weather prevents liar from getting to work,1
mother comes pretty close to using word 'streaming' correctly,1
my white inheritance,0
5 ways to file your taxes with less stress,0
richard branson's global-warming donation nearly as much as cost of failed balloon trips,1
shadow government getting too large to meet in marriott conference room b,1
lots of parents know this scenario,0
this lesbian is considered a father in indiana (and an amazing one at that),0
amanda peet told her daughter sex is 'a special hug',0
what to know regarding current treatments for ebola,0
chris christie suggests hillary clinton was to blame for boko haram's kidnapping of hundreds of schoolgirls,0
ford develops new suv that runs purely on gasoline,1
uber ceo travis kalanick stepping down from trump economic advisory council,0
area boy enters jumping-and-touching-tops-of-doorways phase,1
area man does most of his traveling by gurney,1
leave no person with disabilities behind,0
lin-manuel miranda would like to remind you to put your phone away,0
60 journalists killed in 2014 as targeting of international press rises,0
guard in video game under strict orders to repeatedly pace same stretch of hallway,1
how to live to be 110,0
cat so scared in shelter won't even look at you,0
bill clinton shoots down republicans: 'i strongly supported' obamacare,0
secret service agent not so secret about being david alan grier fan,1
this new orange era: the growing divide,0
things learned in the first month of having a baby,0
lamelo ball scores 92 points in a single high school basketball game,0
i'm bi. it took me 21 years to come out of the closet and say it.,0
10 essential life lessons from a grandma,0
teenage gunfight with isis,0
older but still young at heart,0
leading probability researchers confounded by three coworkers wearing same shirt color on same day,1
new york introduces shoe-sharing program for city's pedestrians,1
beyoncé sculpted in cheese is strangely alluring,0
"expansive obama state of the union speech to touch on patent law, entomology, the films of robert altman",1
stars with gray hair prove getting older isn't all that bad,0
"police say woman made up story of attack by two men, one wearing a trump hat (update)",0
naacp demands less minority representation on upn,1
the best clothes for the man-child in your life,0
florist who turned away gay couple wants supreme court to hear her case,0
"we're still processing that ending to the walking dead ""strangers""",0
new google project delivers critical info to refugees' smartphones,0
new history textbook makes hatred of history come alive for students,1
10 ways ridiculously successful people think differently,0
report: bridge probably has whole mess of bats under there,1
texas republicans urge trump-style immigration crackdown,0
tom hanks brags how 'smokin' hot' rita wilson is after 29 years of marriage,0
god getting strong urge to bring back dinosaurs,1
"lgbt christians speak out: ""love the sinner, hate the sin"" won't cut it anymore",0
"handshake comes in at unusually high angle, velocity",1
mom keeps sending newspaper clippings about former classmates who have been murdered,1
report: make it stop,1
coed rec softball team having trouble finding enough hyper-competitive men to ruin experience,1
brutalist beaver constructs paul rudolph-inspired dam,1
jindal: westboro baptist members who protest funerals face arrest,0
gop congressman may not vote for president at all,0
donald trump's latest attempt to repeal obamacare makes seth meyers sick,0
suicide bombing: can parents spot the warning signs?,1
state department warns americans traveling abroad to avoid lame amsterdam windmill tour,1
meatless monday: portuguese mashup,0
you can now message the president on facebook,0
families of missing flight passengers just hoping media gets closure it needs,1
fender releases new hybrid gas-electric guitar,1
romney volunteers going door-to-door to let obama supporters know president's dead,1
friday talking points -- prelude to silly season,0
"meet sparkle, the 2-year-old who's your next style crush",0
hollywood's biggest stars endure long lines at oscars security screening,1
congresswoman fights for gun control because she almost lost her life to gun violence,0
how to raise kids who can 'love and be loved',0
want to make meetings more productive? start walking,0
elizabeth warren's pick wins ohio's democratic gubernatorial primary,0
biting argument over trump may cost man his ear,0
longtime reader of lib-slaves.info sick of mainstream bias on sites like wideawakepatriot.com,1
beijing fire department extinguishes massive five-alarm burning cloud of smog,1
china intensifies pressure on north korea,0
defiant sanders camp: it ain't over,0
